time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown,sex,ethnicity_major,ethnicity_minor,free_school_meals,sen_provision,sen_status,sen_primary_need,disadvantage,first_language,admission_type,religious_denomination,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Total,Boys,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2505,252134,11379404.32,45.1,246923,97.9,113835,45.1,162688,64.5,97039,38.5,39103,15.5,56119,22.3,1016530.87,4.03,234958,-22649.128,-0.1,-0.1,-0.09
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Boys,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in highly selective areas,Total,173,17152,687297.5,40.1,16777,97.8,5761,33.6,9599,56,5050,29.4,1302,7.6,2204,12.8,59732.46,3.48,16042,-4707.238,-0.29,-0.32,-0.27
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Boys,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in other areas,Total,2242,223380,9861268.15,44.1,218571,97.8,97191,43.5,141668,63.4,83327,37.3,31119,13.9,46251,20.7,878537.83,3.93,208338,-24729.459,-0.12,-0.12,-0.11
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Boys,Total,Total,Total,Total,Total,Total,Total,Total,selective schools,Total,90,11602,830838.67,71.6,11575,99.8,10883,93.8,11421,98.4,8662,74.7,6682,57.6,7664,66.1,78260.58,6.75,10578,6787.569,0.64,0.61,0.67
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Boys,Total,Total,Total,Total,Total,Total,Total,Unclassified EAL,Total,Total,481,1408,60544,43,1357,96.4,591,42,871,61.9,535,38,195,13.8,292,20.7,5420.56,3.85,1170,-107.186,-0.09,-0.17,-0.01
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Boys,Unclassified,Total,Total,Total,Total,Total,Total,Total,Total,Total,1493,4860,207661,42.7,4678,96.3,1998,41.1,2945,60.6,1814,37.3,680,14,996,20.5,18648.3,3.84,4163,-510.255,-0.12,-0.17,-0.08
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Boys,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,2495,179058,7867096.45,43.9,175318,97.9,76723,42.8,112594,62.9,62959,35.2,24928,13.9,36397,20.3,698366.77,3.9,172870,-36790.659,-0.21,-0.22,-0.21
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Girls,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,2068,30086,1695528.03,56.4,29847,99.2,18950,63,23749,78.9,18371,61.1,10018,33.3,12929,43,154726.39,5.14,26033,17756.21,0.68,0.66,0.7
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Girls,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,1883,15843,803037.51,50.7,15716,99.2,8253,52.1,11302,71.3,8549,54,3651,23,5255,33.2,72177.08,4.56,12912,6358.397,0.49,0.47,0.52
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Girls,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,2382,15307,762141.89,49.8,14999,98,7574,49.5,10504,68.6,7550,49.3,3700,24.2,5038,32.9,68017.66,4.44,14120,1856.086,0.13,0.11,0.15
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Girls,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,1451,5209,263507.25,50.6,5092,97.8,2658,51,3590,68.9,3127,60,1441,27.7,1987,38.1,24326.61,4.67,4072,2922.371,0.72,0.67,0.76
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Free school meals,Girls,Total,Total,FSM,Total,Total,Total,Total,Total,Total,Total,2533,57983,2183517.89,37.7,55616,95.9,16114,27.8,27090,46.7,19410,33.5,5777,10,9301,16,187573.69,3.23,54374,-23393.361,-0.43,-0.44,-0.42
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Free school meals,Girls,Total,Total,FSM all other,Total,Total,Total,Total,Total,Total,Total,2538,186256,9761575.49,52.4,184138,98.9,103693,55.7,140379,75.4,92627,49.7,47715,25.6,64593,34.7,869329.53,4.67,174237,50216.914,0.29,0.28,0.29
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Girls,Total,Total,Total,No SEN,Total,Total,Total,Total,Total,Total,2538,213356,10931525.75,51.2,210947,98.9,113169,53,156093,73.2,105715,49.5,51663,24.2,71026,33.3,973055.68,4.56,198900,40510.654,0.2,0.2,0.21
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Girls,Total,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,1814,4057,91010.5,22.4,3270,80.6,466,11.5,839,20.7,307,7.6,92,2.3,135,3.3,7163.53,1.77,3751,-3343.168,-0.89,-0.94,-0.85
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Girls,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,2515,26814,922178.13,34.4,25526,95.2,6170,23,10531,39.3,6015,22.4,1737,6.5,2733,10.2,76654.34,2.86,25948,-10321.825,-0.4,-0.42,-0.38
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Girls,Total,Total,Total,Total,Any SEN,Total,Total,Total,Total,Total,2526,30871,1013188.63,32.8,28796,93.3,6636,21.5,11370,36.8,6322,20.5,1829,5.9,2868,9.3,83817.87,2.72,29699,-13664.993,-0.46,-0.48,-0.44
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Girls,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,Total,2538,213356,10931525.75,51.2,210947,98.9,113169,53,156093,73.2,105715,49.5,51663,24.2,71026,33.3,973055.68,4.56,198900,40510.654,0.2,0.2,0.21
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Disadvantage,Girls,Total,Total,Total,Total,Total,Total,Disadvantaged,Total,Total,Total,2535,63277,2387676.89,37.7,60648,95.8,17695,28,29662,46.9,21260,33.6,6361,10.1,10222,16.2,205178.17,3.24,59426,-25312.174,-0.43,-0.44,-0.41
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Disadvantage,Girls,Total,Total,Total,Total,Total,Total,Disadvantaged all other,Total,Total,Total,2538,180962,9557416.49,52.8,179106,99,102112,56.4,137807,76.2,90777,50.2,47131,26,63672,35.2,851725.05,4.71,169185,52135.727,0.31,0.3,0.31
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Girls,Total,Total,Total,Total,Total,Total,Total,English,Total,Total,2538,198508,9574419.47,48.2,194686,98.1,95346,48,134853,67.9,85081,42.9,40586,20.4,56357,28.4,839482.67,4.23,192117,1847.858,0.01,0,0.02
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Girls,Total,Total,Total,Total,Total,Total,Total,Other than English,Total,Total,2414,44411,2310051.91,52,43786,98.6,23894,53.8,31796,71.6,26372,59.4,12655,28.5,17181,38.7,212065.3,4.78,35405,25009.407,0.71,0.69,0.72
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Total,Girls,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2539,244239,11945093.38,48.9,239754,98.2,119807,49.1,167469,68.6,112037,45.9,53492,21.9,73894,30.3,1056903.22,4.33,228611,26823.553,0.12,0.11,0.12
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Girls,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in highly selective areas,Total,178,16737,725373.75,43.3,16393,97.9,6205,37.1,10045,60,6006,35.9,1977,11.8,3235,19.3,61849.49,3.7,15720,-1826.427,-0.12,-0.14,-0.09
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Girls,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in other areas,Total,2268,215653,10354192.34,48,211540,98.1,102440,47.5,145711,67.6,96932,44.9,43870,20.3,62130,28.8,913494.59,4.24,202013,21071.676,0.1,0.1,0.11
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Girls,Total,Total,Total,Total,Total,Total,Total,Total,selective schools,Total,93,11849,865527.29,73,11821,99.8,11162,94.2,11713,98.9,9099,76.8,7645,64.5,8529,72,81559.14,6.88,10878,7578.304,0.7,0.67,0.72
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Girls,Total,Total,Total,Total,Total,Total,Total,Unclassified EAL,Total,Total,488,1320,60622,45.9,1282,97.1,567,43,820,62.1,584,44.2,251,19,356,27,5355.25,4.06,1089,-33.712,-0.03,-0.12,0.05
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Girls,Unclassified,Total,Total,Total,Total,Total,Total,Total,Total,Total,1431,4516,215233.5,47.7,4401,97.5,2139,47.4,2915,64.5,2048,45.3,979,21.7,1305,28.9,19140.05,4.24,3880,427.455,0.11,0.07,0.15
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Girls,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,2528,173278,8205645.2,47.4,169699,97.9,80233,46.3,115409,66.6,72392,41.8,33703,19.5,47380,27.3,718515.43,4.15,167594,-2496.966,-0.01,-0.02,-0.01
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Total,Asian,Total,Total,Total,Total,Total,Total,Total,Total,Total,2404,61574,3339997.1,54.2,60927,98.9,37477,60.9,47293,76.8,34632,56.2,17606,28.6,22981,37.3,304647.29,4.95,53013,29745.902,0.56,0.55,0.57
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Total,Black,Total,Total,Total,Total,Total,Total,Total,Total,Total,2250,31268,1491816.89,47.7,30906,98.8,14975,47.9,21217,67.9,15195,48.6,5621,18,8393,26.8,133580.37,4.27,25398,8213.829,0.32,0.31,0.34
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Total,Mixed,Total,Total,Total,Total,Total,Total,Total,Total,Total,2617,30797,1472270.68,47.8,30100,97.7,14767,47.9,20551,66.7,14035,45.6,6470,21,8921,29,131943,4.28,28295,661.088,0.02,0.01,0.04
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Total,Other,Total,Total,Total,Total,Total,Total,Total,Total,Total,1951,11022,524776.88,47.6,10648,96.6,5330,48.4,7233,65.6,6001,54.4,2608,23.7,3640,33,48592.88,4.41,8356,4924.031,0.59,0.56,0.62
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Free school meals,Total,Total,Total,FSM,Total,Total,Total,Total,Total,Total,Total,2657,116818,4200476.89,36,111761,95.7,31178,26.7,52549,45,35358,30.3,9638,8.3,15673,13.4,364051.7,3.12,109121,-57682.623,-0.53,-0.54,-0.52
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Free school meals,Total,Total,Total,FSM all other,Total,Total,Total,Total,Total,Total,Total,2662,379555,19124020.81,50.4,374916,98.8,202464,53.3,277608,73.1,173718,45.8,82957,21.9,114340,30.1,1709382.39,4.5,354448,61857.048,0.17,0.17,0.18
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Total,Total,Total,Total,No SEN,Total,Total,Total,Total,Total,Total,2662,420922,20948941.92,49.8,415991,98.8,218566,51.9,303761,72.2,195116,46.4,88975,21.1,124225,29.5,1873462.89,4.45,391196,39654.273,0.1,0.1,0.11
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Total,Total,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,2461,12739,307181.25,24.1,10760,84.5,1586,12.4,2887,22.7,1156,9.1,341,2.7,505,4,25281.76,1.98,11802,-8089.606,-0.69,-0.71,-0.66
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN provision,Total,Total,Total,Total,SEN Supp,Total,Total,Total,Total,Total,Total,2655,62692,2067807.03,33,59908,95.6,13486,21.5,23500,37.5,12801,20.4,3279,5.2,5282,8.4,174642.43,2.79,60554,-27363.492,-0.45,-0.46,-0.44
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Total,Total,Total,Total,Total,Any SEN,Total,Total,Total,Total,Total,2661,75431,2374988.28,31.5,70668,93.7,15072,20,26387,35,13957,18.5,3620,4.8,5787,7.7,199924.19,2.65,72356,-35453.098,-0.49,-0.5,-0.48
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,SEN status,Total,Total,Total,Total,Total,No identified SEN,Total,Total,Total,Total,Total,2662,420922,20948941.92,49.8,415991,98.8,218566,51.9,303761,72.2,195116,46.4,88975,21.1,124225,29.5,1873462.89,4.45,391196,39654.273,0.1,0.1,0.11
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Disadvantage,Total,Total,Total,Total,Total,Total,Total,Disadvantaged,Total,Total,Total,2660,127547,4593117.14,36,121852,95.5,34202,26.8,57584,45.1,38739,30.4,10631,8.3,17257,13.5,398196.2,3.12,119122,-62341.167,-0.52,-0.53,-0.52
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Disadvantage,Total,Total,Total,Total,Total,Total,Total,Disadvantaged all other,Total,Total,Total,2662,368826,18731380.56,50.8,364825,98.9,199440,54.1,272573,73.9,170337,46.2,81964,22.2,112756,30.6,1675237.89,4.54,344447,66515.592,0.19,0.19,0.2
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Total,Total,Total,Total,Total,Total,Total,Total,English,Total,Total,2662,402244,18686026.36,46.5,394374,98,186004,46.2,265761,66.1,158418,39.4,70077,17.4,98927,24.6,1647437.62,4.1,389055,-36081.743,-0.09,-0.1,-0.09
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Total,Total,Total,Total,Total,Total,Total,Total,Other than English,Total,Total,2620,91401,4517305.34,49.4,89664,98.1,46480,50.9,62705,68.6,49539,54.2,22072,24.1,30438,33.3,415220.66,4.54,72255,40397.066,0.56,0.55,0.57
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,2662,496373,23324497.7,47,486677,98,233642,47.1,330157,66.5,209076,42.1,92595,18.7,130013,26.2,2073434.09,4.18,463569,4174.425,0.01,0,0.01
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Total,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in highly selective areas,Total,186,33889,1412671.25,41.7,33170,97.9,11966,35.3,19644,58,11056,32.6,3279,9.7,5439,16,121581.95,3.59,31762,-6533.665,-0.21,-0.22,-0.19
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Total,Total,Total,Total,Total,Total,Total,Total,Total,non-selective schools in other areas,Total,2333,439033,20215460.49,46,430111,98,199631,45.5,287379,65.5,180259,41.1,74989,17.1,108381,24.7,1792032.42,4.08,410351,-3657.783,-0.01,-0.01,0
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Admission type,Total,Total,Total,Total,Total,Total,Total,Total,Total,selective schools,Total,143,23451,1696365.96,72.3,23396,99.8,22045,94,23134,98.6,17761,75.7,14327,61.1,16193,69.1,159819.72,6.82,21456,14365.873,0.67,0.65,0.69
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,First language,Total,Total,Total,Total,Total,Total,Total,Total,Unclassified EAL,Total,Total,716,2728,121166,44.4,2639,96.7,1158,42.4,1691,62,1119,41,446,16.3,648,23.8,10775.81,3.95,2259,-140.898,-0.06,-0.12,0
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Total,Unclassified,Total,Total,Total,Total,Total,Total,Total,Total,Total,1939,9376,422894.5,45.1,9079,96.8,4137,44.1,5860,62.5,3862,41.2,1659,17.7,2301,24.5,37788.35,4.03,8043,-82.8,-0.01,-0.04,0.02
202324,Academic year,National,E92000001,England,Revised,Academies and free schools,Ethnicity major,Total,White,Total,Total,Total,Total,Total,Total,Total,Total,Total,2651,352336,16072741.65,45.6,345017,97.9,156956,44.5,228003,64.7,135351,38.4,58631,16.6,83777,23.8,1416882.2,4.02,340464,-39287.625,-0.12,-0.12,-0.11
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Any other Asian background,FSM,Total,Total,Total,Total,Total,Total,Total,880,1524,62672.5,41.1,1413,92.7,630,41.3,882,57.9,562,36.9,204,13.4,291,19.1,5644.28,3.7,1192,275.298,0.23,0.15,0.31
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Any other Asian background,FSM all other,Total,Total,Total,Total,Total,Total,Total,1743,5292,283280.76,53.5,5094,96.3,3380,63.9,4137,78.2,2595,49,1368,25.9,1782,33.7,25867.65,4.89,4254,2706.953,0.64,0.59,0.68
202324,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity minor,Boys,Asian,Any other Asian background,Total,Total,Total,Total,Total,Total,Total,Total,1944,6816,345953.26,50.8,6507,95.5,4010,58.8,5019,73.6,3157,46.3,1572,23.1,2073,30.4,31511.93,4.62,5446,2982.251,0.55,0.51,0.59
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Bangladeshi,FSM,Total,Total,Total,Total,Total,Total,Total,586,2033,92586,45.5,1920,94.4,990,48.7,1338,65.8,966,47.5,363,17.9,517,25.4,8321.56,4.09,1894,268.126,0.14,0.08,0.21
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Bangladeshi,FSM all other,Total,Total,Total,Total,Total,Total,Total,910,3513,181707,51.7,3400,96.8,2107,60,2677,76.2,1858,52.9,804,22.9,1106,31.5,16472.61,4.69,3281,1314.673,0.4,0.35,0.45
202324,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity minor,Boys,Asian,Bangladeshi,Total,Total,Total,Total,Total,Total,Total,Total,1094,5546,274293,49.5,5320,95.9,3097,55.8,4015,72.4,2824,50.9,1167,21,1623,29.3,24794.17,4.47,5175,1582.799,0.31,0.27,0.34
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Chinese,FSM,Total,Total,Total,Total,Total,Total,Total,147,157,9121,58.1,143,91.1,117,74.5,129,82.2,94,59.9,58,36.9,69,43.9,856.17,5.45,136,102.096,0.75,0.51,0.99
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Chinese,FSM all other,Total,Total,Total,Total,Total,Total,Total,1013,2006,130905.01,65.3,1970,98.2,1517,75.6,1732,86.3,1335,66.6,941,46.9,1099,54.8,12548.29,6.26,1067,1079.773,1.01,0.93,1.1
202324,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity minor,Boys,Asian,Chinese,Total,Total,Total,Total,Total,Total,Total,Total,1077,2163,140026.01,64.7,2113,97.7,1634,75.5,1861,86,1429,66.1,999,46.2,1168,54,13404.46,6.2,1203,1181.869,0.98,0.9,1.06
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Indian,FSM,Total,Total,Total,Total,Total,Total,Total,502,1088,49302.75,45.3,1043,95.9,522,48,704,64.7,475,43.7,167,15.3,242,22.2,4413.25,4.06,1002,209.628,0.21,0.12,0.3
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Indian,FSM all other,Total,Total,Total,Total,Total,Total,Total,1792,9776,570995.8,58.4,9601,98.2,6855,70.1,8132,83.2,5394,55.2,3105,31.8,3903,39.9,52389.7,5.36,8116,6511.454,0.8,0.77,0.83
202324,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity minor,Boys,Asian,Indian,Total,Total,Total,Total,Total,Total,Total,Total,1873,10864,620298.55,57.1,10644,98,7377,67.9,8836,81.3,5869,54,3272,30.1,4145,38.2,56802.95,5.23,9118,6721.082,0.74,0.71,0.77
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Pakistani,FSM,Total,Total,Total,Total,Total,Total,Total,968,4373,173286,39.6,4165,95.2,1579,36.1,2428,55.5,1625,37.2,411,9.4,665,15.2,15237.06,3.48,4018,-689.198,-0.17,-0.22,-0.13
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Pakistani,FSM all other,Total,Total,Total,Total,Total,Total,Total,1442,10640,492754.51,46.3,10336,97.1,5197,48.8,7170,67.4,4715,44.3,1644,15.5,2407,22.6,44062.54,4.14,9678,1438.147,0.15,0.12,0.18
202324,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity minor,Boys,Asian,Pakistani,Total,Total,Total,Total,Total,Total,Total,Total,1612,15013,666040.51,44.4,14501,96.6,6776,45.1,9598,63.9,6340,42.2,2055,13.7,3072,20.5,59299.6,3.95,13696,748.949,0.05,0.03,0.08
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Total,FSM,Total,Total,Total,Total,Total,Total,Total,1681,9175,386968.25,42.2,8684,94.6,3838,41.8,5481,59.7,3722,40.6,1203,13.1,1784,19.4,34472.32,3.76,8242,165.95,0.02,-0.01,0.05
202324,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,Boys,Asian,Total,FSM all other,Total,Total,Total,Total,Total,Total,Total,2732,31227,1659643.08,53.1,30401,97.4,19056,61,23848,76.4,15897,50.9,7862,25.2,10297,33,151340.79,4.85,26396,13051,0.49,0.48,0.51
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN provision,Boys,Asian,Total,Total,No SEN,Total,Total,Total,Total,Total,Total,2509,35456,1907157.33,53.8,35107,99,21911,61.8,27707,78.1,18443,52,8804,24.8,11669,32.9,173769.79,4.9,30123,14183.103,0.47,0.45,0.49
202324,Academic year,National,E92000001,England,Revised,All state-funded,SEN provision,Boys,Asian,Total,Total,SEN State EHC,Total,Total,Total,Total,Total,Total,810,1690,25222.75,14.9,800,47.3,165,9.8,263,15.6,151,8.9,47,2.8,72,4.3,2132.52,1.26,1503,-1062.032,-0.71,-0.78,-0.64
