time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,programme,breakdown,group_name,total_ects_count,cumulative_ects,count_swfc_ects,breakdown_percent_ect,breakdown_percent_swfc_ect,programme_percent_ect,programme_percent_swfc_ect
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase,Primary,12619,12619,10964,43.7,43.6,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase,Primary,13101,25720,11090,47,47.2,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase,Primary,12161,37881,9692,48.7,48.6,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase,Primary,10076,47957,7448,44.7,44.4,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase,Secondary,14974,14974,13276,51.8,52.8,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase,Secondary,13412,28386,11488,48.1,48.9,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase,Secondary,11442,39828,9421,45.9,47.3,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase,Secondary,11326,51154,8705,50.3,51.8,100,100
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Other,1247,1247,862,4.5,3.6,96.4,96.6
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Other,1318,2565,870,5,3.9,95,94.1
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Other,1312,3877,806,5.5,4.2,97.2,97.8
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Other,1085,4962,621,5.1,3.9,95.7,97.2
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Primary,12151,12151,10551,44.2,44.2,96.3,96.2
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Primary,12521,24672,10625,47.6,47.9,95.6,95.8
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Primary,11751,36423,9402,49.5,49.3,96.6,97
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Primary,9717,46140,7189,45.7,45.2,96.4,96.5
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Secondary,14083,14083,12449,51.2,52.2,94,93.8
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Secondary,12467,26550,10681,47.4,48.2,93,93
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Secondary,10677,37227,8857,45,46.5,93.3,94
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase,Secondary,10481,47708,8088,49.2,50.9,92.5,92.9
202122,Academic year,National,England,E92000001,,,,,,School-led,School phase,Other,31,31,21,2.8,2,2.4,2.4
202223,Academic year,National,England,E92000001,,,,,,School-led,School phase,Other,37,68,30,3.1,3,2.7,3.2
202324,Academic year,National,England,E92000001,,,,,,School-led,School phase,Other,18,86,11,1.7,1.4,1.3,1.3
202425,Academic year,National,England,E92000001,,,,,,School-led,School phase,Other,17,103,9,1.8,1.2,1.5,1.4
202122,Academic year,National,England,E92000001,,,,,,School-led,School phase,Primary,332,332,305,29.6,29.1,2.6,2.8
202223,Academic year,National,England,E92000001,,,,,,School-led,School phase,Primary,392,724,328,32.9,32.3,3,3
202324,Academic year,National,England,E92000001,,,,,,School-led,School phase,Primary,354,1078,256,32.6,31.9,2.9,2.6
202425,Academic year,National,England,E92000001,,,,,,School-led,School phase,Primary,268,1346,214,27.9,28.2,2.7,2.9
202122,Academic year,National,England,E92000001,,,,,,School-led,School phase,Secondary,757,757,722,67.6,68.9,5.1,5.4
202223,Academic year,National,England,E92000001,,,,,,School-led,School phase,Secondary,761,1518,657,63.9,64.7,5.7,5.7
202324,Academic year,National,England,E92000001,,,,,,School-led,School phase,Secondary,715,2233,536,65.8,66.7,6.2,5.7
202425,Academic year,National,England,E92000001,,,,,,School-led,School phase,Secondary,675,2908,537,70.3,70.7,6,6.2
202122,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Other,16,16,9,5.6,4.1,1.2,1
202223,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Other,33,49,25,8.1,8,2.4,2.7
202324,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Other,20,69,7,15.9,10.1,1.5,0.8
202425,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Other,32,101,9,10.9,6.7,2.8,1.4
202122,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Primary,136,136,108,47.6,48.6,1.1,1
202223,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Primary,188,324,137,46.4,43.9,1.4,1.2
202324,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Primary,56,380,34,44.4,49.3,0.5,0.4
202425,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Primary,91,471,45,31.1,33.6,0.9,0.6
202122,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Secondary,134,134,105,46.9,47.3,0.9,0.8
202223,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Secondary,184,318,150,45.4,48.1,1.4,1.3
202324,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Secondary,50,368,28,39.7,40.6,0.4,0.3
202425,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School phase,Secondary,170,538,80,58,59.7,1.5,0.9
202122,Academic year,National,England,E92000001,,,,,,Overall,School type,Academies,17203,17203,15030,59.6,59.8,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School type,Academies,16636,33839,14098,59.6,60,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School type,Academies,15187,49026,12261,60.9,61.5,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School type,Academies,14116,63142,10573,62.6,63,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School type,Free schools,1493,1493,1313,5.2,5.2,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School type,Free schools,1457,2950,1211,5.2,5.2,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School type,Free schools,1347,4297,1071,5.4,5.4,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School type,Free schools,1416,5713,1010,6.3,6,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School type,Local authority maintained schools,9441,9441,8317,32.7,33.1,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School type,Local authority maintained schools,9026,18467,7705,32.4,32.8,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School type,Local authority maintained schools,7718,26185,6210,30.9,31.1,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School type,Local authority maintained schools,6429,32614,4892,28.5,29.1,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School type,Other types,143,143,10,0.5,low,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School type,Other types,124,267,7,0.4,low,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School type,Other types,111,378,7,0.4,low,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School type,Other types,60,438,c,0.3,c,100,c
202122,Academic year,National,England,E92000001,,,,,,Overall,School type,Special schools,607,607,462,2.1,1.8,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School type,Special schools,658,1265,482,2.4,2.1,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School type,Special schools,590,1855,388,2.4,1.9,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School type,Special schools,515,2370,314,2.3,1.9,100,100
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Academies,16412,16412,14301,59.7,59.9,95.4,95.1
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Academies,15753,32165,13367,59.9,60.3,94.7,94.8
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Academies,14420,46585,11719,60.7,61.5,94.9,95.6
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Academies,13327,59912,10011,62.6,63,94.4,94.7
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Free schools,1425,1425,1250,5.2,5.2,95.4,95.2
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Free schools,1365,2790,1128,5.2,5.1,93.7,93.1
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Free schools,1290,4080,1026,5.4,5.4,95.8,95.8
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Free schools,1324,5404,945,6.2,5.9,93.5,93.6
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Local authority maintained schools,8925,8925,7859,32.5,32.9,94.5,94.5
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Local authority maintained schools,8451,17376,7227,32.1,32.6,93.6,93.8
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Local authority maintained schools,7345,24721,5934,30.9,31.1,95.2,95.6
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Local authority maintained schools,6084,30805,4633,28.6,29.1,94.6,94.7
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Other types,143,143,10,0.5,low,100,100
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Other types,124,267,7,0.5,low,100,100
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Other types,111,378,7,0.5,low,100,100
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Other types,60,438,c,0.3,c,100,c
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Special schools,576,576,442,2.1,1.9,94.9,95.7
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Special schools,613,1189,447,2.3,2,93.2,92.7
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Special schools,574,1763,379,2.4,2,97.3,97.7
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School type,Special schools,488,2251,306,2.3,1.9,94.8,97.5
202122,Academic year,National,England,E92000001,,,,,,School-led,School type,Academies,648,648,621,57.9,59.3,3.8,4.1
202223,Academic year,National,England,E92000001,,,,,,School-led,School type,Academies,677,1325,570,56.9,56.2,4.1,4
202324,Academic year,National,England,E92000001,,,,,,School-led,School type,Academies,702,2027,506,64.6,63,4.6,4.1
202425,Academic year,National,England,E92000001,,,,,,School-led,School type,Academies,603,2630,475,62.8,62.5,4.3,4.5
202122,Academic year,National,England,E92000001,,,,,,School-led,School type,Free schools,51,51,48,4.6,4.6,3.4,3.7
202223,Academic year,National,England,E92000001,,,,,,School-led,School type,Free schools,62,113,58,5.2,5.7,4.3,4.8
202324,Academic year,National,England,E92000001,,,,,,School-led,School type,Free schools,47,160,41,4.3,5.1,3.5,3.8
202425,Academic year,National,England,E92000001,,,,,,School-led,School type,Free schools,69,229,54,7.2,7.1,4.9,5.3
202122,Academic year,National,England,E92000001,,,,,,School-led,School type,Local authority maintained schools,397,397,362,35.4,34.5,4.2,4.4
202223,Academic year,National,England,E92000001,,,,,,School-led,School type,Local authority maintained schools,427,824,368,35.9,36.3,4.7,4.8
202324,Academic year,National,England,E92000001,,,,,,School-led,School type,Local authority maintained schools,328,1152,250,30.2,31.1,4.2,4
202425,Academic year,National,England,E92000001,,,,,,School-led,School type,Local authority maintained schools,276,1428,226,28.7,29.7,4.3,4.6
202122,Academic year,National,England,E92000001,,,,,,School-led,School type,Special schools,24,24,17,2.1,1.6,4,3.7
202223,Academic year,National,England,E92000001,,,,,,School-led,School type,Special schools,24,48,19,2,1.9,3.6,3.9
202324,Academic year,National,England,E92000001,,,,,,School-led,School type,Special schools,10,58,6,0.9,0.7,1.7,1.5
202425,Academic year,National,England,E92000001,,,,,,School-led,School type,Special schools,12,70,5,1.2,0.7,2.3,1.6
202122,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Academies,143,143,108,50,48.6,0.8,0.7
202223,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Academies,206,349,161,50.9,51.6,1.2,1.1
202324,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Academies,65,414,36,51.6,52.2,0.4,0.3
202425,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Academies,186,600,87,63.5,64.9,1.3,0.8
202122,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Free schools,17,17,15,5.9,6.8,1.1,1.1
202223,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Free schools,30,47,25,7.4,8,2.1,2.1
202324,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Free schools,10,57,4,7.9,5.8,0.7,0.4
202425,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Free schools,23,80,11,7.8,8.2,1.6,1.1
202122,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Local authority maintained schools,119,119,96,41.6,43.2,1.3,1.2
202223,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Local authority maintained schools,148,267,110,36.5,35.3,1.6,1.4
202324,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Local authority maintained schools,45,312,26,35.7,37.7,0.6,0.4
202425,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Local authority maintained schools,69,381,33,23.5,24.6,1.1,0.7
202122,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Special schools,7,7,c,2.4,c,1.2,c
202223,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Special schools,21,28,16,5.2,5.1,3.2,3.3
202324,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Special schools,6,34,c,4.8,c,1,c
202425,Academic year,National,England,E92000001,,,,,,Provider-led pending confirmation,School type,Special schools,15,49,c,5.1,c,2.9,c
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Academies,397,397,310,1.4,1.2,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Academies,433,830,319,1.6,1.4,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Academies,458,1288,307,1.8,1.5,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Academies,415,1703,249,1.8,1.5,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Free schools,80,80,62,0.3,0.2,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Free schools,87,167,63,0.3,0.3,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Free schools,114,281,76,0.5,0.4,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Free schools,94,375,48,0.4,0.3,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Local authority maintained schools,67,67,48,0.2,0.2,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Local authority maintained schools,86,153,54,0.3,0.2,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Local authority maintained schools,77,230,46,0.3,0.2,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Local authority maintained schools,50,280,25,0.2,0.1,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Other types,143,143,10,0.5,low,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Other types,124,267,7,0.4,low,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Other types,111,378,7,0.4,low,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Other types,60,438,c,0.3,c,100,c
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Special schools,607,607,462,2.1,1.8,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Special schools,658,1265,482,2.4,2.1,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Special schools,590,1855,388,2.4,1.9,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Other - Special schools,515,2370,314,2.3,1.9,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Academies,5678,5678,4890,19.7,19.5,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Academies,6164,11842,5199,22.1,22.1,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Academies,6032,17874,4764,24.2,23.9,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Academies,5100,22974,3695,22.6,22,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Free schools,320,320,284,1.1,1.1,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Free schools,311,631,266,1.1,1.1,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Free schools,318,949,268,1.3,1.3,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Free schools,304,1253,225,1.3,1.3,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Local authority maintained schools,6621,6621,5790,22.9,23,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Local authority maintained schools,6626,13247,5625,23.7,23.9,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Local authority maintained schools,5811,19058,4660,23.3,23.4,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Primary - Local authority maintained schools,4672,23730,3528,20.7,21,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Academies,11128,11128,9830,38.5,39.1,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Academies,10039,21167,8580,36,36.5,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Academies,8697,29864,7190,34.9,36.1,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Academies,8601,38465,6629,38.2,39.5,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Free schools,1093,1093,967,3.8,3.8,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Free schools,1059,2152,882,3.8,3.8,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Free schools,915,3067,727,3.7,3.6,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Free schools,1018,4085,737,4.5,4.4,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Local authority maintained schools,2753,2753,2479,9.5,9.9,100,100
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Local authority maintained schools,2314,5067,2026,8.3,8.6,100,100
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Local authority maintained schools,1830,6897,1504,7.3,7.5,100,100
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Secondary - Local authority maintained schools,1707,8604,1339,7.6,8,100,100
202122,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Unknown,c,c,c,z,z,c,c
202223,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Unknown,c,c,c,z,z,c,c
202324,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Unknown,c,c,c,z,z,c,c
202425,Academic year,National,England,E92000001,,,,,,Overall,School phase*type,Unknown,c,c,c,z,z,c,c
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Academies,389,389,304,1.4,1.3,98,98.1
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Academies,417,806,305,1.6,1.4,96.3,95.6
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Academies,443,1249,301,1.9,1.6,96.7,98
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Academies,399,1648,243,1.9,1.5,96.1,97.6
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Free schools,75,75,59,0.3,0.2,93.8,95.2
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Free schools,84,159,60,0.3,0.3,96.6,95.2
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Free schools,110,269,74,0.5,0.4,96.5,97.4
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Free schools,91,360,46,0.4,0.3,96.8,95.8
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Local authority maintained schools,64,64,47,0.2,0.2,95.5,97.9
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Local authority maintained schools,80,144,51,0.3,0.2,93,94.4
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Local authority maintained schools,74,218,45,0.3,0.2,96.1,97.8
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Local authority maintained schools,47,265,23,0.2,0.1,94,92
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Other types,143,143,10,0.5,low,100,100
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Other types,124,267,7,0.5,low,100,100
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Other types,111,378,7,0.5,low,100,100
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Other types,60,438,c,0.3,c,100,c
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Special schools,576,576,442,2.1,1.9,94.9,95.7
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Special schools,613,1189,447,2.3,2,93.2,92.7
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Special schools,574,1763,379,2.4,2,97.3,97.7
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Other - Special schools,488,2251,306,2.3,1.9,94.8,97.5
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Academies,5484,5484,4715,20,19.8,96.6,96.4
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Academies,5921,11405,5006,22.5,22.6,96.1,96.3
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Academies,5832,17237,4634,24.6,24.3,96.7,97.3
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Academies,4925,22162,3573,23.1,22.5,96.6,96.7
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Free schools,310,310,274,1.1,1.1,96.9,96.5
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Free schools,289,599,244,1.1,1.1,92.9,91.7
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Free schools,302,901,254,1.3,1.3,95,94.8
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Free schools,285,1186,210,1.3,1.3,93.8,93.3
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Local authority maintained schools,6357,6357,5562,23.1,23.3,96,96.1
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Local authority maintained schools,6311,12668,5375,24,24.2,95.2,95.6
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Local authority maintained schools,5617,18285,4514,23.7,23.7,96.7,96.9
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Primary - Local authority maintained schools,4507,22792,3406,21.2,21.4,96.5,96.5
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Academies,10539,10539,9282,38.4,38.9,94.7,94.4
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Academies,9415,19954,8056,35.8,36.3,93.8,93.9
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Academies,8145,28099,6784,34.3,35.6,93.7,94.4
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Academies,8003,36102,6195,37.6,39,93,93.5
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Free schools,1040,1040,917,3.8,3.8,95.2,94.8
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Free schools,992,2032,824,3.8,3.7,93.7,93.4
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Free schools,878,2910,698,3.7,3.7,96,96
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Free schools,948,3858,689,4.5,4.3,93.1,93.5
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Local authority maintained schools,2504,2504,2250,9.1,9.4,91,90.8
202223,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Local authority maintained schools,2060,4564,1801,7.8,8.1,89,88.9
202324,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Local authority maintained schools,1654,6218,1375,7,7.2,90.4,91.4
202425,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Secondary - Local authority maintained schools,1530,7748,1204,7.2,7.6,89.6,89.9
202122,Academic year,National,England,E92000001,,,,,,Provider-led,School phase*type,Unknown,c,c,c,z,z,c,c
