time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,programme,breakdown,group_name,count_swfc_ects,count_one_year_retention,count_two_year_retention,count_three_year_retention,percent_one_year_retention,percent_two_year_retention,percent_three_year_retention
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Academies,413,350,321,z,84.7,77.7,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Academies,385,348,z,z,90.4,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Free schools,38,33,28,26,86.8,73.7,68.4
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Free schools,41,33,30,z,80.5,73.2,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Free schools,28,27,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Local authority maintained schools,198,166,149,134,83.8,75.3,67.7
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Local authority maintained schools,199,181,147,z,91,73.9,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Local authority maintained schools,122,107,z,z,87.7,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Unknown,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Unknown,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Unknown,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,25 to 29,6521,5684,5082,4624,87.2,77.9,70.9
202223,Academic year,National,England,E92000001,,,Overall,Age group,25 to 29,6358,5607,5040,z,88.2,79.3,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,25 to 29,5065,4501,z,z,88.9,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,30 to 39,3521,3036,2802,2590,86.2,79.6,73.6
202223,Academic year,National,England,E92000001,,,Overall,Age group,30 to 39,3481,3066,2811,z,88.1,80.8,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,30 to 39,2877,2577,z,z,89.6,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,40 to 49,1609,1397,1311,1253,86.8,81.5,77.9
202223,Academic year,National,England,E92000001,,,Overall,Age group,40 to 49,1629,1451,1342,z,89.1,82.4,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,40 to 49,1517,1356,z,z,89.4,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,50 to 59,453,377,343,315,83.2,75.7,69.5
202223,Academic year,National,England,E92000001,,,Overall,Age group,50 to 59,472,403,372,z,85.4,78.8,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,50 to 59,399,348,z,z,87.2,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,60 and over,13,9,6,6,u,u,u
202223,Academic year,National,England,E92000001,,,Overall,Age group,60 and over,23,16,11,z,u,u,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,60 and over,18,12,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,Under 25,9608,8542,7693,7169,88.9,80.1,74.6
202223,Academic year,National,England,E92000001,,,Overall,Age group,Under 25,9266,8325,7513,z,89.8,81.1,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,Under 25,8155,7386,z,z,90.6,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,Unknown,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,Overall,Age group,Unknown,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,Unknown,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,Age group,25 to 29,6194,5397,4838,4404,87.1,78.1,71.1
202223,Academic year,National,England,E92000001,,,Provider-led,Age group,25 to 29,6033,5324,4792,z,88.2,79.4,z
202324,Academic year,National,England,E92000001,,,Provider-led,Age group,25 to 29,4835,4296,z,z,88.9,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,Age group,30 to 39,3373,2916,2700,2499,86.5,80,74.1
202223,Academic year,National,England,E92000001,,,Provider-led,Age group,30 to 39,3321,2927,2690,z,88.1,81,z
202324,Academic year,National,England,E92000001,,,Provider-led,Age group,30 to 39,2759,2469,z,z,89.5,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,Age group,40 to 49,1531,1330,1247,1190,86.9,81.5,77.7
202223,Academic year,National,England,E92000001,,,Provider-led,Age group,40 to 49,1569,1400,1295,z,89.2,82.5,z
202324,Academic year,National,England,E92000001,,,Provider-led,Age group,40 to 49,1459,1305,z,z,89.4,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,Age group,50 to 59,427,356,324,297,83.4,75.9,69.6
202223,Academic year,National,England,E92000001,,,Provider-led,Age group,50 to 59,451,384,356,z,85.1,78.9,z
202324,Academic year,National,England,E92000001,,,Provider-led,Age group,50 to 59,384,335,z,z,87.2,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,Age group,60 and over,13,9,6,6,u,u,u
202223,Academic year,National,England,E92000001,,,Provider-led,Age group,60 and over,23,16,11,z,u,u,z
202324,Academic year,National,England,E92000001,,,Provider-led,Age group,60 and over,18,12,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,Age group,Under 25,9148,8135,7332,6847,88.9,80.1,74.8
202223,Academic year,National,England,E92000001,,,Provider-led,Age group,Under 25,8823,7942,7169,z,90,81.3,z
202324,Academic year,National,England,E92000001,,,Provider-led,Age group,Under 25,7774,7033,z,z,90.5,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,Age group,Unknown,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,Provider-led,Age group,Unknown,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,Provider-led,Age group,Unknown,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,School-led,Age group,25 to 29,327,287,244,220,87.8,74.6,67.3
202223,Academic year,National,England,E92000001,,,School-led,Age group,25 to 29,325,283,248,z,87.1,76.3,z
202324,Academic year,National,England,E92000001,,,School-led,Age group,25 to 29,230,205,z,z,89.1,z,z
202122,Academic year,National,England,E92000001,,,School-led,Age group,30 to 39,148,120,102,91,81.1,68.9,61.5
202223,Academic year,National,England,E92000001,,,School-led,Age group,30 to 39,160,139,121,z,86.9,75.6,z
202324,Academic year,National,England,E92000001,,,School-led,Age group,30 to 39,118,108,z,z,91.5,z,z
202122,Academic year,National,England,E92000001,,,School-led,Age group,40 to 49,78,67,64,63,85.9,82.1,80.8
202223,Academic year,National,England,E92000001,,,School-led,Age group,40 to 49,60,51,47,z,85,78.3,z
202324,Academic year,National,England,E92000001,,,School-led,Age group,40 to 49,58,51,z,z,87.9,z,z
202122,Academic year,National,England,E92000001,,,School-led,Age group,50 to 59,26,21,19,18,u,u,u
202223,Academic year,National,England,E92000001,,,School-led,Age group,50 to 59,21,19,16,z,u,u,z
202324,Academic year,National,England,E92000001,,,School-led,Age group,50 to 59,15,13,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,School-led,Age group,60 and over,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,Age group,60 and over,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,School-led,Age group,60 and over,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,School-led,Age group,Under 25,460,407,361,322,88.5,78.5,70
202223,Academic year,National,England,E92000001,,,School-led,Age group,Under 25,443,383,344,z,86.5,77.7,z
202324,Academic year,National,England,E92000001,,,School-led,Age group,Under 25,381,353,z,z,92.7,z,z
202122,Academic year,National,England,E92000001,,,School-led,Age group,Unknown,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,Age group,Unknown,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,School-led,Age group,Unknown,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,Overall,Gender,Female,16172,14291,13001,12031,88.4,80.4,74.4
202223,Academic year,National,England,E92000001,,,Overall,Gender,Female,15902,14187,12901,z,89.2,81.1,z
202324,Academic year,National,England,E92000001,,,Overall,Gender,Female,13665,12332,z,z,90.2,z,z
202122,Academic year,National,England,E92000001,,,Overall,Gender,Male,5504,4712,4199,3892,85.6,76.3,70.7
202223,Academic year,National,England,E92000001,,,Overall,Gender,Male,5305,4661,4174,z,87.9,78.7,z
202324,Academic year,National,England,E92000001,,,Overall,Gender,Male,4320,3805,z,z,88.1,z,z
202122,Academic year,National,England,E92000001,,,Overall,Gender,Unknown,50,43,38,35,86,76,70
202223,Academic year,National,England,E92000001,,,Overall,Gender,Unknown,22,20,14,z,u,u,z
