time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,breakdown,group_name,total_mentors_trained_count_provider_led,breakdown_percent_mentor
202425,Academic year,National,England,E92000001,,,,,,Working pattern,Unknown,721,z
202122,Academic year,National,England,E92000001,,,,,,Role,Assistant headteacher,2660,10.7
202223,Academic year,National,England,E92000001,,,,,,Role,Assistant headteacher,2280,9.7
202324,Academic year,National,England,E92000001,,,,,,Role,Assistant headteacher,1836,10.1
202425,Academic year,National,England,E92000001,,,,,,Role,Assistant headteacher,1384,9.3
202122,Academic year,National,England,E92000001,,,,,,Role,Classroom teacher,19954,80.4
202223,Academic year,National,England,E92000001,,,,,,Role,Classroom teacher,19411,82.3
202324,Academic year,National,England,E92000001,,,,,,Role,Classroom teacher,14964,82.1
202425,Academic year,National,England,E92000001,,,,,,Role,Classroom teacher,12436,83.6
202122,Academic year,National,England,E92000001,,,,,,Role,Deputy headteacher,1678,6.8
202223,Academic year,National,England,E92000001,,,,,,Role,Deputy headteacher,1410,6
202324,Academic year,National,England,E92000001,,,,,,Role,Deputy headteacher,1049,5.8
202425,Academic year,National,England,E92000001,,,,,,Role,Deputy headteacher,754,5.1
202122,Academic year,National,England,E92000001,,,,,,Role,Headteacher,532,2.1
202223,Academic year,National,England,E92000001,,,,,,Role,Headteacher,481,2
202324,Academic year,National,England,E92000001,,,,,,Role,Headteacher,385,2.1
202425,Academic year,National,England,E92000001,,,,,,Role,Headteacher,298,2
202122,Academic year,National,England,E92000001,,,,,,Role,Unknown,1064,z
202223,Academic year,National,England,E92000001,,,,,,Role,Unknown,1132,z
202324,Academic year,National,England,E92000001,,,,,,Role,Unknown,899,z
202425,Academic year,National,England,E92000001,,,,,,Role,Unknown,721,z
202122,Academic year,National,England,E92000001,,,,,,Experience,0 or below,7,low
202223,Academic year,National,England,E92000001,,,,,,Experience,0 or below,c,c
202324,Academic year,National,England,E92000001,,,,,,Experience,0 or below,6,low
202425,Academic year,National,England,E92000001,,,,,,Experience,0 or below,c,c
202122,Academic year,National,England,E92000001,,,,,,Experience,10 to 19,10028,40.8
202223,Academic year,National,England,E92000001,,,,,,Experience,10 to 19,9555,41
202324,Academic year,National,England,E92000001,,,,,,Experience,10 to 19,7300,40.5
202425,Academic year,National,England,E92000001,,,,,,Experience,10 to 19,5848,39.7
202122,Academic year,National,England,E92000001,,,,,,Experience,20 to 29,4125,16.8
202223,Academic year,National,England,E92000001,,,,,,Experience,20 to 29,4220,18.1
202324,Academic year,National,England,E92000001,,,,,,Experience,20 to 29,3360,18.6
202425,Academic year,National,England,E92000001,,,,,,Experience,20 to 29,2810,19.1
202122,Academic year,National,England,E92000001,,,,,,Experience,30 and over,905,3.7
202223,Academic year,National,England,E92000001,,,,,,Experience,30 and over,898,3.9
202324,Academic year,National,England,E92000001,,,,,,Experience,30 and over,816,4.5
202425,Academic year,National,England,E92000001,,,,,,Experience,30 and over,651,4.4
202122,Academic year,National,England,E92000001,,,,,,Experience,5 to 9,7071,28.7
202223,Academic year,National,England,E92000001,,,,,,Experience,5 to 9,6653,28.5
202324,Academic year,National,England,E92000001,,,,,,Experience,5 to 9,5007,27.8
202425,Academic year,National,England,E92000001,,,,,,Experience,5 to 9,3983,27.1
202122,Academic year,National,England,E92000001,,,,,,Experience,Under 5,2463,10
202223,Academic year,National,England,E92000001,,,,,,Experience,Under 5,1986,8.5
202324,Academic year,National,England,E92000001,,,,,,Experience,Under 5,1544,8.6
202425,Academic year,National,England,E92000001,,,,,,Experience,Under 5,1422,9.7
202122,Academic year,National,England,E92000001,,,,,,Experience,Unknown,1289,z
202223,Academic year,National,England,E92000001,,,,,,Experience,Unknown,1400,z
202324,Academic year,National,England,E92000001,,,,,,Experience,Unknown,1100,z
202425,Academic year,National,England,E92000001,,,,,,Experience,Unknown,879,z
202122,Academic year,Regional,England,E92000001,East Midlands,E12000004,,,,Overall,Overall,2203,8.5
202223,Academic year,Regional,England,E92000001,East Midlands,E12000004,,,,Overall,Overall,2201,8.9
202324,Academic year,Regional,England,E92000001,East Midlands,E12000004,,,,Overall,Overall,1726,9
202425,Academic year,Regional,England,E92000001,East Midlands,E12000004,,,,Overall,Overall,1485,9.5
202122,Academic year,Regional,England,E92000001,East of England,E12000006,,,,Overall,Overall,2934,11.3
202223,Academic year,Regional,England,E92000001,East of England,E12000006,,,,Overall,Overall,2757,11.2
202324,Academic year,Regional,England,E92000001,East of England,E12000006,,,,Overall,Overall,2028,10.6
202425,Academic year,Regional,England,E92000001,East of England,E12000006,,,,Overall,Overall,1755,11.3
202122,Academic year,Regional,England,E92000001,London,E12000007,,,,Overall,Overall,4741,18.3
202223,Academic year,Regional,England,E92000001,London,E12000007,,,,Overall,Overall,4443,18
202324,Academic year,Regional,England,E92000001,London,E12000007,,,,Overall,Overall,3208,16.8
202425,Academic year,Regional,England,E92000001,London,E12000007,,,,Overall,Overall,2600,16.7
202122,Academic year,Regional,England,E92000001,North East,E12000001,,,,Overall,Overall,950,3.7
202223,Academic year,Regional,England,E92000001,North East,E12000001,,,,Overall,Overall,1029,4.2
202324,Academic year,Regional,England,E92000001,North East,E12000001,,,,Overall,Overall,890,4.7
202425,Academic year,Regional,England,E92000001,North East,E12000001,,,,Overall,Overall,632,4.1
202122,Academic year,Regional,England,E92000001,North West,E12000002,,,,Overall,Overall,3074,11.9
202223,Academic year,Regional,England,E92000001,North West,E12000002,,,,Overall,Overall,2886,11.7
202324,Academic year,Regional,England,E92000001,North West,E12000002,,,,Overall,Overall,2471,12.9
202425,Academic year,Regional,England,E92000001,North West,E12000002,,,,Overall,Overall,2008,12.9
202122,Academic year,Regional,England,E92000001,South East,E12000008,,,,Overall,Overall,4388,16.9
202223,Academic year,Regional,England,E92000001,South East,E12000008,,,,Overall,Overall,4187,16.9
202324,Academic year,Regional,England,E92000001,South East,E12000008,,,,Overall,Overall,3117,16.3
202425,Academic year,Regional,England,E92000001,South East,E12000008,,,,Overall,Overall,2506,16.1
202122,Academic year,Regional,England,E92000001,South West,E12000009,,,,Overall,Overall,2139,8.3
202223,Academic year,Regional,England,E92000001,South West,E12000009,,,,Overall,Overall,2115,8.6
202324,Academic year,Regional,England,E92000001,South West,E12000009,,,,Overall,Overall,1679,8.8
202425,Academic year,Regional,England,E92000001,South West,E12000009,,,,Overall,Overall,1458,9.4
202122,Academic year,Regional,England,E92000001,West Midlands,E12000005,,,,Overall,Overall,2846,11
202223,Academic year,Regional,England,E92000001,West Midlands,E12000005,,,,Overall,Overall,2561,10.4
202324,Academic year,Regional,England,E92000001,West Midlands,E12000005,,,,Overall,Overall,2072,10.8
202425,Academic year,Regional,England,E92000001,West Midlands,E12000005,,,,Overall,Overall,1642,10.5
202122,Academic year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Overall,Overall,2613,10.1
202223,Academic year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Overall,Overall,2535,10.3
202324,Academic year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Overall,Overall,1942,10.2
202425,Academic year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Overall,Overall,1507,9.7
202122,Academic year,Local authority,England,E92000001,,,City of London,201,E09000001,Overall,Overall,c,c
202223,Academic year,Local authority,England,E92000001,,,City of London,201,E09000001,Overall,Overall,c,c
202324,Academic year,Local authority,England,E92000001,,,City of London,201,E09000001,Overall,Overall,c,c
202425,Academic year,Local authority,England,E92000001,,,City of London,201,E09000001,Overall,Overall,c,c
202122,Academic year,Local authority,England,E92000001,,,Camden,202,E09000007,Overall,Overall,97,0.4
202223,Academic year,Local authority,England,E92000001,,,Camden,202,E09000007,Overall,Overall,109,0.4
202324,Academic year,Local authority,England,E92000001,,,Camden,202,E09000007,Overall,Overall,73,0.4
202425,Academic year,Local authority,England,E92000001,,,Camden,202,E09000007,Overall,Overall,62,0.4
202122,Academic year,Local authority,England,E92000001,,,Greenwich,203,E09000011,Overall,Overall,159,0.6
202223,Academic year,Local authority,England,E92000001,,,Greenwich,203,E09000011,Overall,Overall,149,0.6
202324,Academic year,Local authority,England,E92000001,,,Greenwich,203,E09000011,Overall,Overall,105,0.5
202425,Academic year,Local authority,England,E92000001,,,Greenwich,203,E09000011,Overall,Overall,104,0.7
202122,Academic year,Local authority,England,E92000001,,,Hackney,204,E09000012,Overall,Overall,147,0.6
202223,Academic year,Local authority,England,E92000001,,,Hackney,204,E09000012,Overall,Overall,113,0.5
202324,Academic year,Local authority,England,E92000001,,,Hackney,204,E09000012,Overall,Overall,97,0.5
202425,Academic year,Local authority,England,E92000001,,,Hackney,204,E09000012,Overall,Overall,70,0.4
202122,Academic year,Local authority,England,E92000001,,,Hammersmith and Fulham,205,E09000013,Overall,Overall,111,0.4
202223,Academic year,Local authority,England,E92000001,,,Hammersmith and Fulham,205,E09000013,Overall,Overall,80,0.3
202324,Academic year,Local authority,England,E92000001,,,Hammersmith and Fulham,205,E09000013,Overall,Overall,58,0.3
202425,Academic year,Local authority,England,E92000001,,,Hammersmith and Fulham,205,E09000013,Overall,Overall,49,0.3
202122,Academic year,Local authority,England,E92000001,,,Islington,206,E09000019,Overall,Overall,79,0.3
202223,Academic year,Local authority,England,E92000001,,,Islington,206,E09000019,Overall,Overall,106,0.4
202324,Academic year,Local authority,England,E92000001,,,Islington,206,E09000019,Overall,Overall,74,0.4
202425,Academic year,Local authority,England,E92000001,,,Islington,206,E09000019,Overall,Overall,50,0.3
202122,Academic year,Local authority,England,E92000001,,,Kensington and Chelsea,207,E09000020,Overall,Overall,77,0.3
202223,Academic year,Local authority,England,E92000001,,,Kensington and Chelsea,207,E09000020,Overall,Overall,64,0.3
202324,Academic year,Local authority,England,E92000001,,,Kensington and Chelsea,207,E09000020,Overall,Overall,37,0.2
202425,Academic year,Local authority,England,E92000001,,,Kensington and Chelsea,207,E09000020,Overall,Overall,37,0.2
202122,Academic year,Local authority,England,E92000001,,,Lambeth,208,E09000022,Overall,Overall,127,0.5
202223,Academic year,Local authority,England,E92000001,,,Lambeth,208,E09000022,Overall,Overall,178,0.7
202324,Academic year,Local authority,England,E92000001,,,Lambeth,208,E09000022,Overall,Overall,75,0.4
202425,Academic year,Local authority,England,E92000001,,,Lambeth,208,E09000022,Overall,Overall,71,0.5
202122,Academic year,Local authority,England,E92000001,,,Lewisham,209,E09000023,Overall,Overall,121,0.5
202223,Academic year,Local authority,England,E92000001,,,Lewisham,209,E09000023,Overall,Overall,160,0.6
202324,Academic year,Local authority,England,E92000001,,,Lewisham,209,E09000023,Overall,Overall,88,0.5
202425,Academic year,Local authority,England,E92000001,,,Lewisham,209,E09000023,Overall,Overall,82,0.5
202122,Academic year,Local authority,England,E92000001,,,Southwark,210,E09000028,Overall,Overall,208,0.8
202223,Academic year,Local authority,England,E92000001,,,Southwark,210,E09000028,Overall,Overall,212,0.9
202324,Academic year,Local authority,England,E92000001,,,Southwark,210,E09000028,Overall,Overall,114,0.6
202425,Academic year,Local authority,England,E92000001,,,Southwark,210,E09000028,Overall,Overall,87,0.6
202122,Academic year,Local authority,England,E92000001,,,Tower Hamlets,211,E09000030,Overall,Overall,184,0.7
202223,Academic year,Local authority,England,E92000001,,,Tower Hamlets,211,E09000030,Overall,Overall,151,0.6
202324,Academic year,Local authority,England,E92000001,,,Tower Hamlets,211,E09000030,Overall,Overall,141,0.7
202425,Academic year,Local authority,England,E92000001,,,Tower Hamlets,211,E09000030,Overall,Overall,111,0.7
202122,Academic year,Local authority,England,E92000001,,,Wandsworth,212,E09000032,Overall,Overall,135,0.5
202223,Academic year,Local authority,England,E92000001,,,Wandsworth,212,E09000032,Overall,Overall,134,0.5
202324,Academic year,Local authority,England,E92000001,,,Wandsworth,212,E09000032,Overall,Overall,94,0.5
202425,Academic year,Local authority,England,E92000001,,,Wandsworth,212,E09000032,Overall,Overall,69,0.4
202122,Academic year,Local authority,England,E92000001,,,Westminster,213,E09000033,Overall,Overall,130,0.5
202223,Academic year,Local authority,England,E92000001,,,Westminster,213,E09000033,Overall,Overall,101,0.4
202324,Academic year,Local authority,England,E92000001,,,Westminster,213,E09000033,Overall,Overall,68,0.4
202425,Academic year,Local authority,England,E92000001,,,Westminster,213,E09000033,Overall,Overall,59,0.4
202122,Academic year,Local authority,England,E92000001,,,Barking and Dagenham,301,E09000002,Overall,Overall,126,0.5
202223,Academic year,Local authority,England,E92000001,,,Barking and Dagenham,301,E09000002,Overall,Overall,136,0.6
202324,Academic year,Local authority,England,E92000001,,,Barking and Dagenham,301,E09000002,Overall,Overall,125,0.7
202425,Academic year,Local authority,England,E92000001,,,Barking and Dagenham,301,E09000002,Overall,Overall,81,0.5
202122,Academic year,Local authority,England,E92000001,,,Barnet,302,E09000003,Overall,Overall,209,0.8
202223,Academic year,Local authority,England,E92000001,,,Barnet,302,E09000003,Overall,Overall,227,0.9
202324,Academic year,Local authority,England,E92000001,,,Barnet,302,E09000003,Overall,Overall,188,1
202425,Academic year,Local authority,England,E92000001,,,Barnet,302,E09000003,Overall,Overall,134,0.9
202122,Academic year,Local authority,England,E92000001,,,Bexley,303,E09000004,Overall,Overall,154,0.6
202223,Academic year,Local authority,England,E92000001,,,Bexley,303,E09000004,Overall,Overall,131,0.5
202324,Academic year,Local authority,England,E92000001,,,Bexley,303,E09000004,Overall,Overall,98,0.5
202425,Academic year,Local authority,England,E92000001,,,Bexley,303,E09000004,Overall,Overall,100,0.6
202122,Academic year,Local authority,England,E92000001,,,Brent,304,E09000005,Overall,Overall,194,0.7
202223,Academic year,Local authority,England,E92000001,,,Brent,304,E09000005,Overall,Overall,174,0.7
202324,Academic year,Local authority,England,E92000001,,,Brent,304,E09000005,Overall,Overall,118,0.6
202425,Academic year,Local authority,England,E92000001,,,Brent,304,E09000005,Overall,Overall,114,0.7
202122,Academic year,Local authority,England,E92000001,,,Bromley,305,E09000006,Overall,Overall,178,0.7
202223,Academic year,Local authority,England,E92000001,,,Bromley,305,E09000006,Overall,Overall,179,0.7
202324,Academic year,Local authority,England,E92000001,,,Bromley,305,E09000006,Overall,Overall,135,0.7
202425,Academic year,Local authority,England,E92000001,,,Bromley,305,E09000006,Overall,Overall,92,0.6
202122,Academic year,Local authority,England,E92000001,,,Croydon,306,E09000008,Overall,Overall,232,0.9
202223,Academic year,Local authority,England,E92000001,,,Croydon,306,E09000008,Overall,Overall,149,0.6
202324,Academic year,Local authority,England,E92000001,,,Croydon,306,E09000008,Overall,Overall,118,0.6
202425,Academic year,Local authority,England,E92000001,,,Croydon,306,E09000008,Overall,Overall,109,0.7
202122,Academic year,Local authority,England,E92000001,,,Ealing,307,E09000009,Overall,Overall,173,0.7
202223,Academic year,Local authority,England,E92000001,,,Ealing,307,E09000009,Overall,Overall,157,0.6
202324,Academic year,Local authority,England,E92000001,,,Ealing,307,E09000009,Overall,Overall,135,0.7
202425,Academic year,Local authority,England,E92000001,,,Ealing,307,E09000009,Overall,Overall,90,0.6
202122,Academic year,Local authority,England,E92000001,,,Enfield,308,E09000010,Overall,Overall,202,0.8
202223,Academic year,Local authority,England,E92000001,,,Enfield,308,E09000010,Overall,Overall,195,0.8
202324,Academic year,Local authority,England,E92000001,,,Enfield,308,E09000010,Overall,Overall,143,0.7
202425,Academic year,Local authority,England,E92000001,,,Enfield,308,E09000010,Overall,Overall,116,0.7
202122,Academic year,Local authority,England,E92000001,,,Haringey,309,E09000014,Overall,Overall,174,0.7
202223,Academic year,Local authority,England,E92000001,,,Haringey,309,E09000014,Overall,Overall,136,0.6
202324,Academic year,Local authority,England,E92000001,,,Haringey,309,E09000014,Overall,Overall,87,0.5
202425,Academic year,Local authority,England,E92000001,,,Haringey,309,E09000014,Overall,Overall,81,0.5
202122,Academic year,Local authority,England,E92000001,,,Harrow,310,E09000015,Overall,Overall,150,0.6
202223,Academic year,Local authority,England,E92000001,,,Harrow,310,E09000015,Overall,Overall,138,0.6
202324,Academic year,Local authority,England,E92000001,,,Harrow,310,E09000015,Overall,Overall,111,0.6
202425,Academic year,Local authority,England,E92000001,,,Harrow,310,E09000015,Overall,Overall,73,0.5
202122,Academic year,Local authority,England,E92000001,,,Havering,311,E09000016,Overall,Overall,154,0.6
202223,Academic year,Local authority,England,E92000001,,,Havering,311,E09000016,Overall,Overall,142,0.6
202324,Academic year,Local authority,England,E92000001,,,Havering,311,E09000016,Overall,Overall,93,0.5
202425,Academic year,Local authority,England,E92000001,,,Havering,311,E09000016,Overall,Overall,87,0.6
202122,Academic year,Local authority,England,E92000001,,,Hillingdon,312,E09000017,Overall,Overall,176,0.7
202223,Academic year,Local authority,England,E92000001,,,Hillingdon,312,E09000017,Overall,Overall,132,0.5
202324,Academic year,Local authority,England,E92000001,,,Hillingdon,312,E09000017,Overall,Overall,109,0.6
202425,Academic year,Local authority,England,E92000001,,,Hillingdon,312,E09000017,Overall,Overall,70,0.4
202122,Academic year,Local authority,England,E92000001,,,Hounslow,313,E09000018,Overall,Overall,181,0.7
202223,Academic year,Local authority,England,E92000001,,,Hounslow,313,E09000018,Overall,Overall,171,0.7
202324,Academic year,Local authority,England,E92000001,,,Hounslow,313,E09000018,Overall,Overall,111,0.6
202425,Academic year,Local authority,England,E92000001,,,Hounslow,313,E09000018,Overall,Overall,98,0.6
202122,Academic year,Local authority,England,E92000001,,,Kingston upon Thames,314,E09000021,Overall,Overall,76,0.3
202223,Academic year,Local authority,England,E92000001,,,Kingston upon Thames,314,E09000021,Overall,Overall,72,0.3
202324,Academic year,Local authority,England,E92000001,,,Kingston upon Thames,314,E09000021,Overall,Overall,64,0.3
202425,Academic year,Local authority,England,E92000001,,,Kingston upon Thames,314,E09000021,Overall,Overall,36,0.2
202122,Academic year,Local authority,England,E92000001,,,Merton,315,E09000024,Overall,Overall,136,0.5
202223,Academic year,Local authority,England,E92000001,,,Merton,315,E09000024,Overall,Overall,108,0.4
202324,Academic year,Local authority,England,E92000001,,,Merton,315,E09000024,Overall,Overall,63,0.3
202425,Academic year,Local authority,England,E92000001,,,Merton,315,E09000024,Overall,Overall,46,0.3
202122,Academic year,Local authority,England,E92000001,,,Newham,316,E09000025,Overall,Overall,220,0.8
202223,Academic year,Local authority,England,E92000001,,,Newham,316,E09000025,Overall,Overall,194,0.8
202324,Academic year,Local authority,England,E92000001,,,Newham,316,E09000025,Overall,Overall,159,0.8
202425,Academic year,Local authority,England,E92000001,,,Newham,316,E09000025,Overall,Overall,150,1
202122,Academic year,Local authority,England,E92000001,,,Redbridge,317,E09000026,Overall,Overall,118,0.5
202223,Academic year,Local authority,England,E92000001,,,Redbridge,317,E09000026,Overall,Overall,93,0.4
202324,Academic year,Local authority,England,E92000001,,,Redbridge,317,E09000026,Overall,Overall,77,0.4
202425,Academic year,Local authority,England,E92000001,,,Redbridge,317,E09000026,Overall,Overall,61,0.4
202122,Academic year,Local authority,England,E92000001,,,Richmond upon Thames,318,E09000027,Overall,Overall,87,0.3
202223,Academic year,Local authority,England,E92000001,,,Richmond upon Thames,318,E09000027,Overall,Overall,136,0.6
202324,Academic year,Local authority,England,E92000001,,,Richmond upon Thames,318,E09000027,Overall,Overall,90,0.5
202425,Academic year,Local authority,England,E92000001,,,Richmond upon Thames,318,E09000027,Overall,Overall,66,0.4
202122,Academic year,Local authority,England,E92000001,,,Sutton,319,E09000029,Overall,Overall,81,0.3
202223,Academic year,Local authority,England,E92000001,,,Sutton,319,E09000029,Overall,Overall,90,0.4
202324,Academic year,Local authority,England,E92000001,,,Sutton,319,E09000029,Overall,Overall,77,0.4
202425,Academic year,Local authority,England,E92000001,,,Sutton,319,E09000029,Overall,Overall,65,0.4
202122,Academic year,Local authority,England,E92000001,,,Waltham Forest,320,E09000031,Overall,Overall,144,0.6
202223,Academic year,Local authority,England,E92000001,,,Waltham Forest,320,E09000031,Overall,Overall,125,0.5
202324,Academic year,Local authority,England,E92000001,,,Waltham Forest,320,E09000031,Overall,Overall,83,0.4
202425,Academic year,Local authority,England,E92000001,,,Waltham Forest,320,E09000031,Overall,Overall,80,0.5
202122,Academic year,Local authority,England,E92000001,,,Birmingham,330,E08000025,Overall,Overall,715,2.8
202223,Academic year,Local authority,England,E92000001,,,Birmingham,330,E08000025,Overall,Overall,640,2.6
202324,Academic year,Local authority,England,E92000001,,,Birmingham,330,E08000025,Overall,Overall,512,2.7
202425,Academic year,Local authority,England,E92000001,,,Birmingham,330,E08000025,Overall,Overall,386,2.5
202122,Academic year,Local authority,England,E92000001,,,Coventry,331,E08000026,Overall,Overall,171,0.7
202223,Academic year,Local authority,England,E92000001,,,Coventry,331,E08000026,Overall,Overall,179,0.7
202324,Academic year,Local authority,England,E92000001,,,Coventry,331,E08000026,Overall,Overall,141,0.7
202425,Academic year,Local authority,England,E92000001,,,Coventry,331,E08000026,Overall,Overall,106,0.7
202122,Academic year,Local authority,England,E92000001,,,Dudley,332,E08000027,Overall,Overall,124,0.5
202223,Academic year,Local authority,England,E92000001,,,Dudley,332,E08000027,Overall,Overall,123,0.5
202324,Academic year,Local authority,England,E92000001,,,Dudley,332,E08000027,Overall,Overall,73,0.4
202425,Academic year,Local authority,England,E92000001,,,Dudley,332,E08000027,Overall,Overall,82,0.5
202122,Academic year,Local authority,England,E92000001,,,Sandwell,333,E08000028,Overall,Overall,183,0.7
202223,Academic year,Local authority,England,E92000001,,,Sandwell,333,E08000028,Overall,Overall,143,0.6
202324,Academic year,Local authority,England,E92000001,,,Sandwell,333,E08000028,Overall,Overall,95,0.5
202425,Academic year,Local authority,England,E92000001,,,Sandwell,333,E08000028,Overall,Overall,93,0.6
